ref_article,designation,marque,famille,next_year,avg_forecast,trend_pct,trend_label,data_points
PA0612,CADIVEU ESSENTIALS - HAIR REMEDY -SHAMPOO 250 ML,CADIVEU,SOINS CAPILLAIRES,2026,7801.489024999864,-41.783631338448515,Downtrend,2
HZT/9.2,TEINT IALO 9.2 100ML,H. ZONE,IALO,2026,7754.637714064348,219.01395750472398,Uptrend,6
PA0217,BRASIL CACAU - EXTREME REPAIR - CACAU DOSE 15ml*10 ,CADIVEU,SOINS CAPILLAIRES,2026,7680.87601128533,-61.642535611625725,Downtrend,6
TRBSA7.0,TEINT RB SANS AMONIAQUE 60ML 7.0,RENEE BLANCHE,COLORATION SANS AMMONIAQUE,2026,7640.215494583328,-19.12706894782865,Downtrend,4
6192488208321,CIRE GLOSS WAX RB FCR 7 120ML-6192488208321,RENEE BLANCHE,MASS MARKET,2026,7631.646696666667,-91.48129717187643,Downtrend,3
OXY-20V,ACTIVATEUR RB SANS AMONIAQUE 20V 90ML,RENEE BLANCHE,COLORATION SANS AMMONIAQUE,2026,7613.613399583335,-22.64834559145544,Downtrend,4
RBO40L,R.B OXY 40V 1L,RENEE BLANCHE,COLORATION 60ML,2026,7612.147681875069,-53.15233712920959,Downtrend,5
TRBSA6.0,TEINT RB SANS AMONIAQUE 60ML 6.0,RENEE BLANCHE,COLORATION SANS AMMONIAQUE,2026,7608.75113383333,1.6993693551075322,Downtrend,4
HZTI/10.00,TEINT IALO 10.00 100ML,H. ZONE,IALO,2026,7581.863537691966,56.657186482218094,Stable,6
6192488208307,CIRE GLOSS WAX RB FCR 5 120ML-6192488208307,RENEE BLANCHE,MASS MARKET,2026,7562.968679999999,-96.08378913255325,Downtrend,3
6192488208284,CIRE GLOSS WAX RB FCR 3 120ML-6192488208284,RENEE BLANCHE,MASS MARKET,2026,7452.650500000002,-91.94635154254648,Downtrend,3
KP0016,BRASIL CACAU - EXTREME REPAIR KIT HOME,CADIVEU,SOINS CAPILLAIRES,2025,7435.269851133334,-100.31440699668937,Downtrend,5
8006569145741,TEINT IALO 6.55 100ML,H. ZONE,IALO,2026,7419.39273828157,7.725589744313742,Uptrend,6
6192488208888,TEINT RENEE BLANCHE 7.11 60ML,RENEE BLANCHE,COLORATION 60ML,2026,7412.307190000042,38.30141124093536,Stable,3
6192488208314,CIRE GLOSS WAX RB FCR 6 120ML-6192488208314,RENEE BLANCHE,MASS MARKET,2026,7405.74359,-85.01892106237887,Downtrend,3
RBT/5.66,TEINT RENEE BLANCHE 5.66  60ML,RENEE BLANCHE,COLORATION 60ML,2026,7290.109483075038,-57.547914482701366,Stable,5
RBT/8.3,TEINT RENEE BLANCHE 8.3  60ML,RENEE BLANCHE,COLORATION 60ML,2026,7287.361679983333,-77.39870057858234,Downtrend,5
RBT/6.3,TEINT RENEE BLANCHE 6.3  60ML,RENEE BLANCHE,COLORATION 60ML,2026,7208.326758650001,-76.88022694524345,Downtrend,5
HZTT6.3,TEINT HZ TRESOR SA 6.3,H. ZONE,TRESOR,2026,7174.333846691666,15.75437533678964,Stable,5
KP0071,CADIVEU ESSENTIALS- KIT HOME CARE VEGAN ,CADIVEU,SOINS CAPILLAIRES,2026,7168.576524999996,1.662722128012549,Stable,2
KP0092,CADIVEU ESSENTIALS - HAIR REMEDY -KIT HOME CARE ,CADIVEU,SOINS CAPILLAIRES,2026,7149.816690000458,1155.4164507873706,Uptrend,2
RBT/1.1,TEINT RENEE BLANCHE 1.1  60ML,RENEE BLANCHE,COLORATION 60ML,2026,7110.612861966664,-81.83016544168909,Downtrend,5
6192488208291,CIRE GLOSS WAX RB FCR 4 120ML-6192488208291,RENEE BLANCHE,MASS MARKET,2026,7075.768376666665,-89.76090788258972,Downtrend,3
RBGDE,RB GEL DOUCHE ENERGISANT 250ML-6192488205887,RENEE BLANCHE,MASS MARKET,2026,6953.101159833331,-30.911127045170605,Downtrend,4
MASK_RB_ANT_900ML,MASQUE RB ANTICHUTE 900ML-6192488204767,RENEE BLANCHE,0%SSP,2026,6936.539663616603,-63.454473513508624,Downtrend,5
HZTT7.4,TEINT HZ TRESOR SA 7.4,H. ZONE,TRESOR,2026,6900.056018708314,47.589612397756426,Stable,5
RBT/9.31,TEINT RENEE BLANCHE 9.31  60ML,RENEE BLANCHE,COLORATION 60ML,2026,6787.686123749999,-76.97810987368491,Downtrend,5
RBT/7.83,TEINT RENEE BLANCHE 7.83  60ML,RENEE BLANCHE,COLORATION 60ML,2026,6688.64918834999,-72.77299730539825,Downtrend,5
RBT/6.58,TEINT RENEE BLANCHE 6.58  60ML,RENEE BLANCHE,COLORATION 60ML,2026,6683.346615575068,-70.0367022913904,Downtrend,5
RBT/11.1,TEINT RENEE BLANCHE 11.1  60ML,RENEE BLANCHE,COLORATION 60ML,2026,6651.374067525001,-85.02163177422624,Downtrend,5
HZTT9.21,TEINT HZ TRESOR SA 9.21,H. ZONE,TRESOR,2026,6646.730538724962,91.24365638516203,Uptrend,5
REV1LV30,REVELATEUR 30V 1000ML,H. ZONE,TRESOR,2026,6481.502811941737,421.25395668183205,Stable,5
8006569715838,TEINT IALO 5.3 100ML,H. ZONE,IALO,2026,6426.981903867159,8.563769662242745,Stable,6
HZT/10.00,TEINT IALO 1000 100ML,H. ZONE,IALO,2026,6370.610124165544,53.716299306823146,Downtrend,6
KP0076,CADIVEU ESSENTIALS -QS KIT HOME,CADIVEU,SOINS CAPILLAIRES,2026,6352.564268916651,-48.54947113477881,Downtrend,4
HZT/11.00,TEINT IALO 1100 100ML,H. ZONE,IALO,2026,6332.826401856398,90.16364932223681,Downtrend,6
RBT/9.3,TEINT RENEE BLANCHE 9.3  60ML,RENEE BLANCHE,COLORATION 60ML,2026,6243.907377091666,-80.20594552255392,Downtrend,5
PA0312,BRASIL CACAU - EXTREME REPAIR- SHAMP 300ML SULFATE FRE,CADIVEU,SOINS CAPILLAIRES,2026,6239.733713833331,23.74107966263041,Downtrend,4
HZT/8.64,TEINT IALO 8.64 100ML,H. ZONE,IALO,2026,6221.178458121244,98.90709208931139,Uptrend,6
HZTT8.4,TEINT HZ TRESOR SA 8.4,H. ZONE,TRESOR,2026,6163.994855074997,31.568965494288104,Stable,5
6192488208895,TEINT RENEE BLANCHE 8.11 60ML,RENEE BLANCHE,COLORATION 60ML,2026,6163.627226666662,6.5348696309611505,Stable,3
KP0039,BRASIL CACAU - RECONSTRUCTION KIT 110 ML ,CADIVEU,LISSAGE,2026,6072.473998725553,-102.07832565992143,Downtrend,6
IATPVS500,IALO THERAPY PRO VITALITY SHAMPOO 500 ML,H. ZONE,IALO,2026,5910.269771916667,-94.21337192664917,Downtrend,4
HZTT8.3,TEINT HZ TRESOR SA 8.3,H. ZONE,TRESOR,2026,5909.896010800013,-2.1526888092388763,Stable,5
PA0081,BRASIL CACAU - EXTREME REPAIR - HAIR MASK 200ML,CADIVEU,SOINS CAPILLAIRES,2026,5899.509138158343,-84.82588740796795,Downtrend,5
PA0010,CADIVEU - ACAI OIL 60ML,CADIVEU,SOINS CAPILLAIRES,2026,5898.261529903102,-47.301649048330695,Downtrend,6
TRBSA1.0,TEINT RB SANS AMONIAQUE 60ML 1.0,RENEE BLANCHE,COLORATION SANS AMMONIAQUE,2026,5893.639972749983,-18.606042242702678,Downtrend,4
8006569715876,TEINT IALO 9.3 100ML,H. ZONE,IALO,2026,5846.530983458223,-4.533967562067819,Stable,6
